line,ctg,ldc,size,dapi,actin,permeability
D004T01,1,0.9013426917518798,0.8795817969129747,0.6089722711555624,0.7571810321008697,-0.7485665143525738
D007T01,1,0.7330709665194612,0.7478489827099374,0.39070374466456986,0.6916478445591506,-0.4066889444512657
D010T01,1,0.8368808758448967,0.06017745475050569,0.3517299658569493,0.6935335586370828,-0.38343139175150376
D013T01,1,0.9058725446432551,0.8234524893965193,0.3437332410006889,0.7314056577132259,-0.6918736846095735
D018T01,1,0.8684143367528979,0.7983787057610366,0.028961022920263733,0.31848929412117116,-0.6132207205969245
D019T01,1,0.901541827256745,0.9012850369419527,0.840025976299863,0.83990643268411,-0.7040184716650584
D020T01,1,0.7841929262960653,0.8421516769232898,0.6320758349755466,-0.008054309332987503,-0.49976294587338704
D022T01,1,0.8589446169719346,0.8222476567946314,0.5444417767363329,0.23441576427224486,-0.521918461242072
D027T01,1,0.8215253358208047,0.8044860949108211,0.45955830766854683,0.46526730027458363,-0.5224126465843353
D030T01,1,0.801034079505101,0.8578187807983069,0.17461887853092536,0.2732510188175717,-0.5077892377996207
D046T01,1,0.8791059193551993,0.6405079270873433,0.7606929184488037,0.6707020210291741,-0.19122712473074016
