term,statistic,factor,p.value,fdr,fdr_bool
targetFAK,4.067498491157337,factor2,4.79704467432109e-5,5.756453609185308e-4,TRUE
targetMEK,3.4966978092225443,factor2,4.7357639934572746e-4,0.003030888955812656,TRUE
targetp38 MAPK,-2.3834971061506933,factor2,0.017171893036055447,0.073209892782805,FALSE
targetERK,2.15258778225929,factor2,0.03138049468972073,0.10759026750761391,FALSE
targetPLK,2.0634432567504715,factor2,0.03910227811800461,0.12944202411477387,FALSE
targetCDK,2.008388438045609,factor2,0.04463511854706905,0.1317026752107619,FALSE
targetAurora Kinase,1.9165580689950803,factor2,0.055329201429403715,0.1517600953492216,FALSE
targetGamma-secretase,-1.8677210715404222,factor2,0.06183699507264737,0.15567366719960038,FALSE
targetHedgehog/Smoothened,-1.8538256029394067,factor2,0.06380039519648718,0.15567366719960038,FALSE
targetTGF-beta/Smad,-1.8464449867665012,factor2,0.0648640279998335,0.15567366719960038,FALSE
targetVEGFR,-1.7866223686847842,factor2,0.07403587982911221,0.1733523039901164,FALSE
targetWnt/beta-catenin,-1.725907838466226,factor2,0.0844020782216307,0.18144206631554993,FALSE
targetROCK,-1.691402288814998,factor2,0.09079841110891419,0.1894923362272992,FALSE
targetAMPK,-1.6778313829856408,factor2,0.09341854776752317,0.19081235288685583,FALSE
targetBTK,-1.3758399126853784,factor2,0.16890919010527858,0.31183235096359124,FALSE
targetFLT3,1.3100266942728607,factor2,0.19022390467505854,0.33202717906919305,FALSE
targetRaf,-1.247527232047328,factor2,0.21224025834405438,0.36384044287552175,FALSE
targetJAK,-1.1698661886165054,factor2,0.24208919652978964,0.39970509391774994,FALSE
targetIGF-1R,1.166735162198695,factor2,0.24335163974469315,0.39970509391774994,FALSE
targetATM/ATR,0.9388086119334453,factor2,0.34785697137165883,0.4969357981865674,FALSE
targetS6 Kinase,-0.9365006581911756,factor2,0.34904335608365256,0.4969357981865674,FALSE
targetPDGFR,0.9307778519826949,factor2,0.3519961903821519,0.4969357981865674,FALSE
targetSyk,0.7946270768912805,factor2,0.4268537124079671,0.5700864095557369,FALSE
targetPKC,0.7033899363926509,factor2,0.4818329659595628,0.6336433524947676,FALSE
targetJNK,0.6832649321122266,factor2,0.4944589652536784,0.6387054297023164,FALSE
targetc-Met,-0.6413233212578333,factor2,0.5213307611273688,0.6499708190678883,FALSE
targetBcr-Abl,0.5111419738867207,factor2,0.6092655592742668,0.7498653037221746,FALSE
targetSrc,0.41920292935835657,factor2,0.6750789326365235,0.8000935497914352,FALSE
targetmTOR,-0.29368121415705345,factor2,0.7690090246274993,0.8584286786539527,FALSE
targetGSK-3,-0.2298686721167149,factor2,0.8181996170423076,0.8925814004097901,FALSE
targetEGFR,-0.13565153644587122,factor2,0.8921001280270233,0.9308870901151547,FALSE
targetPI3K,-0.04100089835207,factor2,0.9672961888369078,0.9774782539825595,FALSE
